,prev,curr,type,n
12077398,timeline_of_the_war_in_donbas_(2022),2022_russian_invasion_of_ukraine,link,220.0
12075972,covid-19_recession,2022_russian_invasion_of_ukraine,link,220.0
12079802,patriot_(company),2022_russian_invasion_of_ukraine,link,219.0
12076150,loreen_(singer),2022_russian_invasion_of_ukraine,link,219.0
12077654,petro_poroshenko,2022_russian_invasion_of_ukraine,link,219.0
12079192,pm_m1910,2022_russian_invasion_of_ukraine,link,219.0
12077766,2022_nord_stream_pipeline_sabotage,2022_russian_invasion_of_ukraine,link,218.0
12079732,2022_joe_biden_speech_in_warsaw,2022_russian_invasion_of_ukraine,link,217.0
12079142,castration,2022_russian_invasion_of_ukraine,link,216.0
12078188,northeastern_ukraine_campaign,2022_russian_invasion_of_ukraine,link,215.0
12075310,oleksandr_syrskyi,2022_russian_invasion_of_ukraine,link,214.0
12077004,2022_anti-war_protests_in_russia,2022_russian_invasion_of_ukraine,link,211.0
12075036,bm-21_grad,2022_russian_invasion_of_ukraine,link,211.0
12077008,next_ukrainian_parliamentary_election,2022_russian_invasion_of_ukraine,link,210.0
12076708,kherson_oblast,2022_russian_invasion_of_ukraine,link,210.0
12077064,2023_turkey–syria_earthquake,2022_russian_invasion_of_ukraine,other,209.0
12077826,russian_aerospace_forces,2022_russian_invasion_of_ukraine,link,209.0
12076462,spetsnaz_gru,2022_russian_invasion_of_ukraine,link,207.0
12074756,russian_kyiv_convoy,2022_russian_invasion_of_ukraine,link,207.0
12078714,japan_self-defense_forces,2022_russian_invasion_of_ukraine,link,206.0
12077710,baykar_bayraktar_tb2,2022_russian_invasion_of_ukraine,link,205.0
12077940,territorial_defense_forces_(ukraine),2022_russian_invasion_of_ukraine,link,204.0
12076514,second_battle_of_lyman,2022_russian_invasion_of_ukraine,link,204.0
12077840,mcdonald's_in_russia,2022_russian_invasion_of_ukraine,link,201.0
12076802,institute_for_the_study_of_war,2022_russian_invasion_of_ukraine,link,201.0
12078502,black_sea_fleet,2022_russian_invasion_of_ukraine,link,201.0
12078228,challenger_2,2022_russian_invasion_of_ukraine,link,200.0
12078170,valentina_tereshkova,2022_russian_invasion_of_ukraine,link,200.0
12079684,international_space_station,2022_russian_invasion_of_ukraine,link,199.0
12076464,economy_of_ukraine,2022_russian_invasion_of_ukraine,link,199.0
12078530,post–world_war_ii_air-to-air_combat_losses,2022_russian_invasion_of_ukraine,link,199.0
12079810,scorched_earth,2022_russian_invasion_of_ukraine,link,198.0
12079876,angela_merkel,2022_russian_invasion_of_ukraine,link,196.0
12079214,economy_of_russia,2022_russian_invasion_of_ukraine,link,195.0
12077402,m16_rifle,2022_russian_invasion_of_ukraine,link,194.0
12075656,battle_of_siversk,2022_russian_invasion_of_ukraine,link,194.0
12078794,jim_carrey,2022_russian_invasion_of_ukraine,link,194.0
12075272,c-4_(explosive),2022_russian_invasion_of_ukraine,link,193.0
12077300,svd_(rifle),2022_russian_invasion_of_ukraine,link,193.0
12077970,m4_carbine,2022_russian_invasion_of_ukraine,link,192.0
12076678,2023_visit_by_joe_biden_to_ukraine,2022_russian_invasion_of_ukraine,link,191.0
12078160,battle_of_izium_(2022),2022_russian_invasion_of_ukraine,link,190.0
12079026,bmp-1,2022_russian_invasion_of_ukraine,link,190.0
12076078,olaf_scholz,2022_russian_invasion_of_ukraine,link,189.0
12075206,battle_of_sievierodonetsk_(2022),2022_russian_invasion_of_ukraine,link,189.0
12075682,total_war,2022_russian_invasion_of_ukraine,link,189.0
12077228,agm-88_harm,2022_russian_invasion_of_ukraine,link,188.0
12074954,gustav_schwarzenegger,2022_russian_invasion_of_ukraine,link,188.0
12075996,russia_national_football_team,2022_russian_invasion_of_ukraine,link,188.0
12078012,china_during_the_russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,188.0
12075548,zaporizhzhia_oblast,2022_russian_invasion_of_ukraine,link,187.0
12078638,2023_in_ukraine,2022_russian_invasion_of_ukraine,link,187.0
12075194,2022–23_ukrainian_premier_league,2022_russian_invasion_of_ukraine,link,186.0
12077714,russian_occupation_of_crimea,2022_russian_invasion_of_ukraine,link,186.0
12079322,pripyat,2022_russian_invasion_of_ukraine,link,186.0
12078112,sukhoi_su-57,2022_russian_invasion_of_ukraine,link,185.0
12076732,sukhoi_su-27,2022_russian_invasion_of_ukraine,link,185.0
12077978,special_operations_forces_(ukraine),2022_russian_invasion_of_ukraine,link,184.0
12076834,white-blue-white_flag,2022_russian_invasion_of_ukraine,link,183.0
12075274,accession_of_ukraine_to_the_european_union,2022_russian_invasion_of_ukraine,link,181.0
12077168,fn_fal,2022_russian_invasion_of_ukraine,link,181.0
12078890,2022_belarusian_and_russian_partisan_movement,2022_russian_invasion_of_ukraine,link,180.0
12079720,2023_g20_new_delhi_summit,2022_russian_invasion_of_ukraine,other,179.0
12078764,dmytro_kotsiubailo,2022_russian_invasion_of_ukraine,link,179.0
12078958,longest_recorded_sniper_kills,2022_russian_invasion_of_ukraine,link,178.0
12078030,combat_vehicle_90,2022_russian_invasion_of_ukraine,link,177.0
12077114,m982_excalibur,2022_russian_invasion_of_ukraine,link,176.0
12078792,2022_bombing_of_odesa,2022_russian_invasion_of_ukraine,link,176.0
12077888,list_of_military_aid_to_ukraine_during_the_russo-ukrainian_war,2022_russian_invasion_of_ukraine,link,175.0
12077622,luhansk_oblast,2022_russian_invasion_of_ukraine,link,175.0
12077274,2s3_akatsiya,2022_russian_invasion_of_ukraine,link,174.0
12078474,2024_summer_olympics,2022_russian_invasion_of_ukraine,link,174.0
12075086,dshk,2022_russian_invasion_of_ukraine,link,174.0
12077532,wikipedia,2022_russian_invasion_of_ukraine,other,173.0
12079330,matt_le_tissier,2022_russian_invasion_of_ukraine,link,173.0
12076224,2022_annexation_referendums_in_russian-occupied_ukraine,2022_russian_invasion_of_ukraine,link,172.0
12079316,ghost_of_kyiv,2022_russian_invasion_of_ukraine,link,171.0
12075772,russia_and_weapons_of_mass_destruction,2022_russian_invasion_of_ukraine,link,171.0
12078536,international_legion_(ukraine),2022_russian_invasion_of_ukraine,link,171.0
12078882,uefa_euro_2024_qualifying,2022_russian_invasion_of_ukraine,link,171.0
12074782,naatu_naatu,2022_russian_invasion_of_ukraine,link,169.0
12078556,trench_warfare,2022_russian_invasion_of_ukraine,link,169.0
12075622,dissolution_of_the_soviet_union,2022_russian_invasion_of_ukraine,link,168.0
12074894,buk_missile_system,2022_russian_invasion_of_ukraine,link,168.0
12078050,giorgia_meloni,2022_russian_invasion_of_ukraine,link,168.0
12074908,pantsir_missile_system,2022_russian_invasion_of_ukraine,link,168.0
12077720,roberto_de_zerbi,2022_russian_invasion_of_ukraine,link,168.0
12077060,tactical_nuclear_weapon,2022_russian_invasion_of_ukraine,link,167.0
12077894,bmd-4,2022_russian_invasion_of_ukraine,link,167.0
12079868,steyr_aug,2022_russian_invasion_of_ukraine,link,167.0
12078836,lyudmila_putina,2022_russian_invasion_of_ukraine,link,167.0
12075242,t-72_operators_and_variants,2022_russian_invasion_of_ukraine,link,166.0
12076828,bmp-2,2022_russian_invasion_of_ukraine,link,166.0
12079190,uefa,2022_russian_invasion_of_ukraine,link,166.0
12075976,dmitry_utkin,2022_russian_invasion_of_ukraine,link,165.0
